Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value,message
25225,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2005,132,
25231,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2007,1691,
25232,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2007,1309,
25233,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2007,526,
25234,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2007,1033,
25235,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2007,106,
54906,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2008,1832,
54907,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2008,1325,
54908,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2008,525,
54909,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2008,1030,
54910,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2008,107,
75056,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2009,1897,
75057,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2009,1519,
75058,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2009,514,
75059,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2009,988,
75060,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2009,123,
127081,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2011,1549,
127083,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2011,1235,
127085,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2011,472,
127087,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2011,731,
127089,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2011,86,
154695,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2012,1601,
154697,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2012,1202,
154699,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2012,477,
154701,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2012,737,
154703,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2012,103,
189809,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2013,1574,
189810,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2013,1107,
189811,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2013,446,
189812,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2013,648,
189813,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2013,94,
492524,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2016,1317,
492525,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2016,977,
492526,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2016,416,
492527,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2016,559,
492528,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2016,111,
519267,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,1,Bronx,2015,1407,
519268,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,2,Brooklyn,2015,1023,
519269,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,3,Manhattan,2015,400,
519270,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,4,Queens,2015,602,
519271,154,1,2,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,Borough,Borough,5,Staten Island,2015,82,
25706,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1998,83.7,
25707,155,3,1,84,11,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Estimated Annual Rate,UHF42,Neighborhood (UHF 42),101,Kingsbridge - Riverdale,1999,116.5,
